n;r;k;i;T_init;alfa;alfa_period;stop;#iter;init_time;init_score;time;best;slack
20;50.0;4;1;4.0;0.95;320.0;32000.0;6;0.1250923741608858;105.34978821980432;1.343760740943253;77.84430674971502;10.73430674971502
20;50.0;4;2;4.0;0.95;320.0;32000.0;13;0.1003165505826473;314.92529705061565;1.890062781982124;250.39500000000132;185.42500000000132
20;50.0;4;3;4.0;0.95;320.0;32000.0;119;0.1427614307031035;70.26721439462685;36.27425161376596;66.43;0.0
30;50.0;2;0;6.0;0.95;480.0;48000.0;191;0.2549177976325154;201.1579261262718;79.22714108042419;89.98;0.0
30;50.0;2;1;6.0;0.95;480.0;48000.0;1277;0.2005138043314218;101.65501200000011;492.4418411273509;82.81999999999996;0.0
30;50.0;2;2;6.0;0.95;480.0;48000.0;806;0.1142605189234018;79.57;282.4011257570237;79.57;0.0
30;50.0;2;3;6.0;0.95;480.0;48000.0;84;0.2763696201145649;106.25183470043224;81.73722483031452;77.20999999999998;0.0
30;50.0;3;0;6.0;0.95;480.0;48000.0;23;0.1494409497827291;360.08374911785427;4.523733192123473;130.42449999999968;32.28449999999967
30;50.0;3;1;6.0;0.95;480.0;48000.0;559;0.115960101597011;100.74999999999996;155.6763886976987;94.66999999999996;0.0
30;50.0;3;2;6.0;0.95;480.0;48000.0;372;0.1243099812418222;91.16;103.6940426658839;91.16;0.0
30;50.0;3;3;6.0;0.95;480.0;48000.0;127;0.1070833811536431;96.37201771689892;26.291556164622307;92.81999999999998;0.0
30;50.0;4;0;6.0;0.95;480.0;48000.0;390;0.1313837952911853;94.59;123.3169805528596;92.28;0.0
30;50.0;4;1;6.0;0.95;480.0;48000.0;409;0.1770270708948373;92.29;264.1153272660449;89.88751012053663;0.2775101205366326
30;50.0;4;2;6.0;0.95;480.0;48000.0;432;0.1495859222486615;143.8076733515672;114.96058931574224;105.69;0.0
30;50.0;4;3;6.0;0.95;480.0;48000.0;160;0.2373340725898742;83.83000000000001;104.9826461393386;83.83000000000001;0.0
50;50.0;2;0;10.0;0.95;800.0;80000.0;60;0.203380967490375;382.9974212769757;38.08874845691025;362.0941944367851;216.77419443678517
50;50.0;2;1;10.0;0.95;800.0;80000.0;695;0.3781340569257736;255.2423417033248;668.1297050081193;130.83948883359767;2.5094888335977927
50;50.0;2;2;10.0;0.95;800.0;80000.0;6;0.5018441760912538;2634.186802367355;6.0492326552048326;2307.929115402986;2171.379115402986
50;50.0;2;3;10.0;0.95;800.0;80000.0;489;0.3699460104107857;180.48636587259315;288.0071638589725;135.32999999999996;0.0
50;50.0;3;0;10.0;0.95;800.0;80000.0;9;0.2189026093110442;677.5689275550384;2.869407548569143;475.17946045789824;333.0794604578982
50;50.0;3;1;10.0;0.95;800.0;80000.0;713;0.1490377364680171;161.94000000000003;524.6634279051796;161.94000000000003;0.0
50;50.0;3;2;10.0;0.95;800.0;80000.0;30;0.1951106516644358;661.5599900000053;9.37489265203476;278.7177502224725;133.21775022247252
50;50.0;3;3;10.0;0.95;800.0;80000.0;66;0.1887367041781544;247.66360602900733;174.8622157201171;205.4753461023643;38.17534610236436
50;50.0;4;0;10.0;0.95;800.0;80000.0;18;0.193370645865798;501.2132743397178;7.282851876690984;480.7239928271071;334.4539928271071
50;50.0;4;1;10.0;0.95;800.0;80000.0;157;0.380097764544189;292.39573375198063;201.6351652899757;161.2754999999995;10.04549999999952
50;50.0;4;2;10.0;0.95;800.0;80000.0;86;0.1836488954722881;236.2331974066424;111.1652898909524;211.57890961145765;58.50890961145765
50;50.0;4;3;10.0;0.95;800.0;80000.0;94;0.3454376356676221;362.4865082732285;62.60778760537505;362.4865082732285;205.8465082732286
